corpus_id,title,abstract,phase,PO1_population_clinician,CO2_concept_llm_presence,CO3_concept_cdss_function,CX4_context_clinical_data,OT5_other,decision,rationale
82,ProsthetiX-AI: An LLM-based clinical decision support system for evidence-based prosthetic recommendations.,"Prosthetic selection critically influences rehabilitation outcomes for lower-limb amputees, yet conventional approaches often rely on subjective clinical judgment and static protocols, frequently overlooking individualized patient factors. This study presents ProsthetiX-AI, a clinical decision support system that integrates a deterministic policy engine with evidence-based reasoning, supported by an explanation module from large language models, to deliver personalized prosthetic recommendations. The framework dynamically analyzes patient-specific parameters, such as amputation level, mobility classification, comorbidities, weight, and biomechanical characteristics to generate recommendations aligned with established clinical guidelines. A core innovation of the system lies in its ability to transparently justify outputs by retrieving peer-reviewed evidence, including mobility classification standards and weight-based component selection criteria, thereby enhancing interpretability for clinicians. Delivered through an interactive web interface, the system supports automated reporting, safety validation for weight-based compatibility, and real-time monitoring. Evaluations across transtibial and transfemoral amputations, as well as complex comorbidity profiles, demonstrated sub-millisecond latency, reliable multi-user handling, and adherence to validated recommendations. Quantitative evaluation showed an accuracy of 0.72-0.89 and Cohen's κ = 0.64  -0.85, achieving agreement within the range of clinician-clinician variability ( κ = 0.57  ). Feedback from five clinicians and five prosthetic users reported high ratings for accuracy (4.76/5) and usability (4.54/5), highlighting the system's clinical potential. Despite modest, vignette-based samples, results suggest that citation-linked recommendations can augment clinical decision-making. By emphasizing transparency, scalability, and clinician oversight, ProsthetiX-AI addresses challenges in adopting artificial intelligence in healthcare and provides a foundation for patient-centric decision support in resource-constrained environments.",1,,,,,,,
83,Efficacy and safety of artificial intelligence-based large language models for decision making support in herniology: evaluation by experts and general surgeons.,"OBJECTIVE: To evaluate the quality of recommendations provided by ChatGPT regarding inguinal hernia repair.
MATERIAL AND METHODS: ChatGPT was asked 5 questions about surgical management of inguinal hernias. The chat-bot was assigned the role of expert in herniology and requested to search only specialized medical databases and provide information about references and evidence. Herniology experts and surgeons (non-experts) rated the quality of recommendations generated by ChatGPT using 4-point scale (from 0 to 3 points). Statistical correlations were explored between participants' ratings and their stance regarding artificial intelligence.
RESULTS: Experts scored the quality of ChatGPT responses lower than non-experts (2 (1-2) vs. 2 (2-3), p&lt;0.001). The chat-bot failed to provide valid references and actual evidence, as well as falsified half of references. Respondents were optimistic about the future of neural networks for clinical decision-making support. Most of them were against restricting their use in healthcare.
CONCLUSION: We would not recommend non-specialized large language models as a single or primary source of information for clinical decision making or virtual searching assistant.",1,,,,,,,
84,Integrating human expertise & automated methods for a dynamic and multi-parametric evaluation of large language models' feasibility in clinical decision-making.,"BACKGROUND: Recent enhancements in Large Language Models (LLMs) such as ChatGPT have exponentially increased user adoption. These models are accessible on mobile devices and support multimodal interactions, including conversations, code generation, and patient image uploads, broadening their utility in providing healthcare professionals with real-time support for clinical decision-making. Nevertheless, many authors have highlighted serious risks that may arise from the adoption of LLMs, principally related to safety and alignment with ethical guidelines.
OBJECTIVE: To address these challenges, we introduce a novel methodological approach designed to assess the specific feasibility of adopting LLMs within a healthcare area, with a focus on clinical nursing, evaluating their performance and thereby directing their choice. Emphasizing LLMs' adherence to scientific advancements, this approach prioritizes safety and care personalization, according to the ""Organization for Economic Co-operation and Development"" frameworks for responsible AI. Moreover, its dynamic nature is designed to adapt to future evolutions of LLMs.
METHOD: Through integrating advanced multidisciplinary knowledge, including Nursing Informatics, and aided by a prospective literature review, seven key domains and specific evaluation items were identified as follows:A Peer Review by experts in Nursing and AI was performed, ensuring scientific rigor and breadth of insights for an essential, reproducible, and coherent methodological approach. By means of a 7-point Likert scale, thresholds are defined in order to classify LLMs as ""unusable"", ""usable with high caution"", and ""recommended"" categories. Nine state of the art LLMs were evaluated using this methodology in clinical oncology nursing decision-making, producing preliminary results. Gemini Advanced, Anthropic Claude 3 and ChatGPT 4 achieved the minimum score of the State of the Art Alignment & Safety domain for classification as ""recommended"", being also endorsed across all domains. LLAMA 3 70B and ChatGPT 3.5 were classified as ""usable with high caution."" Others were classified as unusable in this domain.
CONCLUSION: The identification of a recommended LLM for a specific healthcare area, combined with its critical, prudent, and integrative use, can support healthcare professionals in decision-making processes.",1,,,,,,,
85,Large language models vs thrombosis experts: a comparative study on patient education and clinical decision-making in venous thromboembolism.,"BACKGROUND: Large language models (LLMs) have demonstrated remarkable capabilities in various medical fields, yet their performance in thrombosis and hemostasis, particularly in patient education and complex clinical decision making, is unexplored.
OBJECTIVES: We aimed to compare the quality of responses from LLMs vs thrombosis experts and assess clinician's ability to distinguish between them.
METHODS: Three experts on thrombosis and hemostasis and 3 LLMs (Le Chat Pixtral Large, DeepSeek-R1, and ChatGPT-4.5) answered 3 patient education and 3 clinical decision-making queries. Thirty-seven physicians rated responses for adequacy (1 = very poor; 10 = excellent) and estimated their origin (1 = certainly LLM; 10 = certainly human). Mean differences were assessed via t-tests, medians via Wilcoxon tests, and correlations via Spearman test. All P values were adjusted with Bonferroni correction.
RESULTS: LLMs provided significantly better patient education responses than experts. Mean adequacy score differences were as follows: Le Chat Pixtral Large +1.6 (95% CI, 1.3-2.0; P < .01), DeepSeek-R1 +1.7 (95% CI, 1.3-2.1; P < .001), and ChatGPT-4.5 +1.9 (95% CI, 1.6-2.3; P < .001). In clinical decision-making, DeepSeek-R1 outperformed experts (+1.4; 95% CI, 1.1-1.8; P < .001), whereas Le Chat Pixtral Large (-0.3; 95% CI, -0.8-0.1; P = .96) and ChatGPT-4.5 (+0.5; 95% CI, 0.0-0.9; P = .18), performed comparably with experts. Evaluators could not distinguish between expert (median, 6.0; IQR, 3.0-8.0) and LLM-generated responses (median, 6.0; IQR, 4.0-8.0).
CONCLUSION: LLMs outperform experts in venous thromboembolism-related patient education and match or exceed them in clinical decision making, providing responses indistinguishable from experts. Although major barriers need to be addressed, LLMs have strong potential to support clinical management and patient education in the field of thrombosis and hemostasis.",1,,,,,,,
86,Large language model as a clinical decision support tool in the initial management of critically ill children: a pilot evaluation.,"UNLABELLED: Large language models (LLMs) like ChatGPT are being explored as clinical decision support tools, but their reliability in pediatric acute care remains uncertain. This pilot study assessed ChatGPT-4.0's performance in the early management of critically ill children using real-world clinical data. We retrospectively analyzed 20 children emergently admitted from the emergency department (ED) to a tertiary pediatric intensive care unit (PICU). ChatGPT-4.0 was prompted at four time points: ED arrival (diagnostic and therapeutic plans), ED transfer (differential diagnosis and hospitalization decision), PICU admission (diagnostic and therapeutic plans), and 24 h into PICU stay (differential diagnosis). Outputs were compared to actual care and evaluated for accuracy, safety, and omissions. At ED and PICU admission, 94% (95% CI, 91-97%) and 98% (95% CI, 95-99%) of diagnostic recommendations were rated as appropriate. Only 82% (95% CI, 76-87%) of therapeutic recommendations were considered appropriate at both points (p < 0.001). Potentially harmful therapeutic suggestions were more common than diagnostic ones: 7% vs. 2% in the ED (p = 0.016) and 10% vs. 0% in the PICU (p < 0.00001). In the PICU, critically missing therapeutic recommendations occurred at 0.95 per case, compared to 0.15 for diagnostic ones (p = 0.0073). The correct diagnosis appeared in 100% of ED discharge and 95% (95% CI, 85-100%) of PICU 24-h differentials. Triage decisions were accurate in all PICU cases.
CONCLUSION: ChatGPT-4.0 showed good diagnostic and triage performance but requires caution, especially for therapeutic decisions and broader pediatric use.
WHAT IS KNOWN: • LLMs like ChatGPT are being explored as clinical support tools. • Their diagnostic potential has been studied in adults, but pediatric data using real patient cases are limited.
WHAT IS NEW: • This is the first study evaluating ChatGPT in real PICU cases. • It showed good diagnostic and triage performance but requires caution, especially regarding therapeutic decisions.",1,,,,,,,
87,On the role of the UMLS in supporting diagnosis generation proposed by Large Language Models.,"OBJECTIVE: Traditional knowledge-based and machine learning diagnostic decision support systems have benefited from integrating the medical domain knowledge encoded in the Unified Medical Language System (UMLS). The emergence of Large Language Models (LLMs) to supplant traditional systems poses questions of the quality and extent of the medical knowledge in the models' internal knowledge representations and the need for external knowledge sources. The objective of this study is three-fold: to probe the diagnosis-related medical knowledge of popular LLMs, to examine the benefit of providing the UMLS knowledge to LLMs (grounding the diagnosis predictions), and to evaluate the correlations between human judgments and the UMLS-based metrics for generations by LLMs.
METHODS: We evaluated diagnoses generated by LLMs from consumer health questions and daily care notes in the electronic health records using the ConsumerQA and Problem Summarization datasets. Probing LLMs for the UMLS knowledge was performed by prompting the LLM to complete the diagnosis-related UMLS knowledge paths. Grounding the predictions was examined in an approach that integrated the UMLS graph paths and clinical notes in prompting the LLMs. The results were compared to prompting without the UMLS paths. The final experiments examined the alignment of different evaluation metrics, UMLS-based and non-UMLS, with human expert evaluation.
RESULTS: In probing the UMLS knowledge, GPT-3.5 significantly outperformed Llama2 and a simple baseline yielding an F1 score of 10.9% in completing one-hop UMLS paths for a given concept. Grounding diagnosis predictions with the UMLS paths improved the results for both models on both tasks, with the highest improvement (4%) in SapBERT score. There was a weak correlation between the widely used evaluation metrics (ROUGE and SapBERT) and human judgments.
CONCLUSION: We found that while popular LLMs contain some medical knowledge in their internal representations, augmentation with the UMLS knowledge provides performance gains around diagnosis generation. The UMLS needs to be tailored for the task to improve the LLMs predictions. Finding evaluation metrics that are aligned with human judgments better than the traditional ROUGE and BERT-based scores remains an open research question.",1,,,,,,,
88,Empowering front-line physicians with AI: Evaluating large language models in everyday ENT care.,"PURPOSE: Artificial intelligence systems known as large language models are being evaluated for clinical decision support, yet their role in emergency and primary care remains limited. Physicians in these settings often encounter ear, nose, and throat conditions where diagnostic uncertainty, unnecessary testing, and inappropriate referrals contribute to patient risk and healthcare inefficiency. This study compared the performance of advanced large language models with physicians in diagnosis, management, and referral across common and high-acuity otolaryngologic scenarios.
METHODS: Twelve clinical vignettes representing routine and urgent presentations were developed and validated by otolaryngologists. One hundred practicing physicians in family medicine and emergency medicine, including residents and attending physicians, completed all vignettes by providing a diagnosis, management plan, and referral decision. Four large language models (Gemini-2.0, ChatGPT-4.0, ChatGPT-5, and OpenEvidence) were tested using identical prompts. Model outputs were anonymized, randomized, and rated by a blinded expert panel using the Quality Analysis of Medical Artificial Intelligence tool, which assesses accuracy, clarity, completeness, sourcing, relevance, and usefulness.
RESULTS: Physicians achieved mean diagnostic accuracy of 91.6% and management accuracy of 87.9%. In non-urgent cases, 30.4% of responses represented inappropriate referral. Only half recognized the need for urgent referral in a cerebrospinal fluid leak scenario. Large language models demonstrated comparable diagnostic and management accuracy with higher referral appropriateness.
CONCLUSIONS: Large language models showed consistent, guideline-concordant reasoning in simulated emergency and primary-care otolaryngology cases. Their potential lies in supporting, not replacing, clinical judgment through responsible integration and real-world validation.",1,,,,,,,
89,A Comparative Evaluation of Large Language Model Utility in Neuroimaging Clinical Decision Support.,"Imaging utilization has increased dramatically in recent years, and at least some of these studies are not appropriate for the clinical scenario. The development of large language models (LLMs) may address this issue by providing a more accessible reference resource for ordering providers, but their relative performance is currently understudied. Evaluate and compare the relative appropriateness and usefulness of imaging recommendations generated by eight publicly available models in response to neuroradiology clinical scenarios. Twenty-four common neuroradiology clinical scenarios were selected which often yield suboptimal imaging utilization. Questions were crafted to assess the ability of LLMs to provide accurate and actionable advice. The LLMs were assessed in August 2023 using natural-language 1-2 sentence queries requesting advice about optimal image ordering given certain clinical parameters. Eight of the most well-known LLMs were chosen for evaluation: ChatGPT, GPT4, Bard (Versions 1 and 2), Bing Chat, Llama 2, Perplexity, and Claude. The models were graded by three fellowship-trained neuroradiologists on whether their advice was ""optimal"" or ""not optimal"" according to the ACR Appropriateness Criteria or the New Orleans Head CT Criteria. The raters also ranked the models based on the appropriateness, helpfulness, concision, and source-citations in their response. The models varied in their ability to deliver an ""optimal"" recommendation based on these scenarios as follows: ChatGPT (20/24), GPT4 (23/24), Bard 1 (13/24), Bard 2 (14/24), Bing Chat (14/24), Llama (5/24), Perplexity (19/24), and Claude (19/24). The median ranks of the LLMs were as follows: ChatGPT (3), GPT4 (1.5), Bard 1 (4.5), Bard 2 (5), Bing Chat (6), Llama (7.5), Perplexity (4), and Claude (3). Characteristic errors are described and discussed. GPT-4, ChatGPT, and Claude generally outperformed Bard, Bing Chat, and Llama 2. This study evaluates the performance of a greater variety of publicly available LLMs in settings that more closely mimic real-world use cases as well as discussing the practical challenges of doing so. This is the first study to evaluate and compare a wide range of publicly available LLMs to determine appropriateness of their neuroradiology imaging recommendations.",1,,,,,,,
90,"Guideline-Integrated Large Language Models Improve Decision Support for Acute Ear, Nose and Throat Emergencies.","BACKGROUND: Acute otolaryngologic emergencies such as sudden sensorineural hearing loss (SSNHL), epistaxis, and acute facial paralysis frequently present to emergency departments (EDs), where early guideline-concordant decisions are critical to prevent irreversible morbidity. Large language models (LLMs) are increasingly explored for clinical decision support, yet their ability to consistently apply specialty guidelines in time-sensitive settings remains uncertain. Retrieval-augmented generation (RAG), which supplies LLMs with authoritative guideline content during response generation, may improve accuracy and safety.
OBJECTIVES: To determine whether integrating American Academy of Otolaryngology-Head and Neck Surgery (AAOHNS) Clinical Practice Guidelines via RAG improves the accuracy, guideline adherence, and safety of LLM-generated decision support for acute ear, nose and throat (ENT) emergencies in the ED.
METHODS: Twelve standardized clinical vignettes representing ED presentations of SSNHL, epistaxis, and Bell's palsy were developed. Two LLMs (ChatGPT and Gemini) generated responses under baseline conditions and with guideline-integrated RAG. Five blinded otolaryngologists independently evaluated outputs using a nine-domain rubric assessing diagnostic accuracy, diagnostic workup, management quality, referral appropriateness, guideline adherence, and risk of misleading information. Non-parametric tests compared performance, and inter-rater reliability was assessed using intraclass correlation coefficients.
RESULTS: Inter-rater reliability was excellent. Compared with baseline models, RAG-enabled models demonstrated significantly improved diagnostic accuracy, diagnostic workup quality, management planning, referral appropriateness, and guideline adherence. RAG reduced misleading recommendations and modestly decreased overtreatment, while overtesting rates were unchanged.
CONCLUSIONS: Guideline integration through RAG improves the reliability, safety, and guideline alignment of LLM outputs for acute otolaryngologic emergencies and may support evidence-based decision-making in emergency care.",1,,,,,,,
91,Performance and improvement strategies for adapting generative large language models for electronic health record applications: A systematic review.,"PURPOSE: To synthesize performance and improvement strategies for adapting generative LLMs in EHR analyses and applications.
METHODS: We followed the PRISMA guidelines to conduct a systematic review of articles from PubMed and Web of Science published between January 1, 2023 and November 9, 2024. Multiple reviewers including biomedical informaticians and a clinician involved in the article reviewing process. Studies were included if they used generative LLMs to analyze real-world EHR data and reported quantitative performance evaluations for an improvement technique. The review identified key clinical applications, summarized performance and the improvement strategies.
RESULTS: Of the 18,735 articles retrieved, 196 met our criteria. 112 (57.1%) studies used generative LLMs for clinical decision support tasks, 40 (20.4%) studies involved documentation tasks, 39 (19.9%) studies involved information extraction tasks, 11 (5.6%) studies involved patient communication tasks, and 10 (5.1%) studies included summarization tasks. Among the 196 studies, most studies (88.8%) did not quantitatively evaluate the LLM performance improvement strategies, with the rest twenty-four studies (12.2%) quantitatively evaluated the effectiveness of in-context learning (9 studies), fine-tuning (12 studies), multimodal integration (8 studies), and ensemble learning (2 studies). Three studies highlighted that few-shot prompting, fine-tuning, and multimodal data integration might not improve performance, and another two studies found that fine-tuning a smaller model could outperform a large model.
CONCLUSION: Applying a performance improvement strategy may not necessarily lead to performance improvement, and detailed guidelines regarding how to apply those strategies more effectively and safely are needed, which can be completed from more quantitative analysis in the future.",1,,,,,,,
92,Benchmark evaluation of large language models for clinical decision support in headache management.,"BACKGROUND: Headache disorders are a major cause of disability worldwide. In routine practice, diagnosis and guideline-based management are difficult because symptoms can overlap between primary and secondary headaches, and clinicians must combine clinical, imaging, and pathological information. Large language models (LLMs) are being proposed to assist clinical reasoning, but their performance on headache cases and their sensitivity to prompting have not been systematically assessed.
METHODS: We evaluated seven leading LLMs using 13 headache cases from the New England Journal of Medicine (NEJM). We compared two prompting strategies: ask-in-sequence (AS) and ask-at-once (AO). Using a 5-point Likert rubric, three headache specialists independently scored six dimensions: rationality of diagnostic thinking, comprehensiveness of differential diagnosis, diagnostic accuracy, completeness of pathological diagnosis, clinical management, and supplementary value. Readability was measured with Flesch Reading Ease (FRE) and Flesch-Kincaid Grade Level (FKGL). We analyzed differences across models, prompting strategies, and cases.
RESULTS: Diagnostic accuracy differed by model: in the AS strategy, ChatGPT-4o outperformed Grok-3. Supplementary value also varied: in AS, Grok-3 outperformed ChatGPT-5 and Hunyuan-T1; in AO, DeepSeek-R1 outperformed ChatGPT-5. Overall, supplementary value was generally higher with AS, while strategy-related differences in diagnostic accuracy were observed only for Grok-3. Performance also depended on the case; C8 and C11 consistently received very low scores, suggesting difficulty integrating psychiatric or warning signs with pathological findings. Readability differed significantly: Gemini 2.5 Pro had the highest FRE (best readability) across strategies, and AS outputs generally had higher FRE. Within AS, ChatGPT-4o had the highest FKGL (worst readability). No significant model differences were found for the other four clinical dimensions.
CONCLUSIONS: This study provides a structured, reproducible evaluation of LLMs on headache case analysis. While some models improved supplementary value, diagnostic accuracy, or readability, overall clinical accuracy remains below expert performance and is not sufficient for unsupervised clinical use.",1,,,,,,,
93,LLMs Can Do Medical Harm: Stress-Testing Clinical Decisions Under Social Pressure.,"BACKGROUND: Large language models (LLMs) are entering clinical workflows, yet their effect on clinical decisions and potential for harm are uncertain.
METHODS: We measured harmful decision output from an ensemble of 20 LLMs across &gt;10 million clinical scenarios with safety or ethical dilemmas. Each case was shown under a neutral control and six Milgram-style social-pressure conditions, with or without a brief mitigation cue (""verify or escalate if unsafe""). The primary outcome was the proportion of potentially harmful responses. We used two-proportion tests/χ2 tests and confirmatory mixed-effects logistic models.
RESULTS: Across all runs (N = 10,096,800), LLMs produced 1.18 million potentially harmful outputs (11.7%). Mitigation reduced harmful decisions from 16.6% to 10.1% (p &lt; 0.001). When exposed to social pressure, models behaved predictably but unevenly: prompts framed as authority or responsibility transfer generated the most harmful responses, whereas control prompts, neutral and pressure-free, produced the fewest (mitigated 8.3-9.6%; unmitigated 14.3-16.0%; χ2 p &lt; 0.001). In other words, when told what to do, or told that someone else would take responsibility, models were more likely to comply, even when the instruction was unsafe. These effects were consistent across datasets and models.
CONCLUSION: LLMs can generate harmful medical decisions at scale. A brief safety reminder reduces, but does not eliminate, this behavior. These results highlight the need to measure harm propensity as a core performance metric and to maintain guardrails and continuous physician oversight before integrating LLMs into clinical decision-making.",1,,,,,,,
94,From Guidelines to Code: Formalizing STOPP/START Criteria Using LLMs and RAG for Clinical Decision Support.,"STOPP/START v3 is a set of criteria for optimizing therapy for elderly patients with polypharmacy. Implementing these criteria in prescribing software requires to formalize them, which is a difficult task. This project aimed to automate the formalization of these criteria using large language models (LLMs), specifically leveraging Retrieval-Augmented Generation (RAG) for enhanced accuracy. We employed DeepSeek and GPT-4o-mini for entity extraction, code mapping to ICD-10, LOINC, and ATC, and the generation of executable Python code. A preliminary evaluation conducted on a subset of rules yielded a notably high F1-score (0.90, 0.92, 1 for drug, disease and observation entity mapping respectively and perfect results for medical entity extraction and code logic consistency). These results confirm the model's effectiveness in accurately transforming complex clinical rules into executable code. In conclusion, we successfully automated the creation of executable code from medical guidelines, proving that LLMs, supported by RAG, can be effective for automating clinical decision support tasks and formalizing medical rules.",1,,,,,,,
95,A Hitchhiker's Guide to Good Prompting Practices for Large Language Models in Radiology.,"Large language models (LLMs) are reshaping radiology through their advanced capabilities in tasks such as medical report generation and clinical decision support. However, their effectiveness is heavily influenced by prompt engineering-the design of input prompts that guide the model's responses. This review aims to illustrate how different prompt engineering techniques, including zero-shot, one-shot, few-shot, chain of thought, and tree of thought, affect LLM performance in a radiology context. In addition, we explore the impact of prompt complexity and temperature settings on the relevance and accuracy of model outputs. This article highlights the importance of precise and iterative prompt design to enhance LLM reliability in radiology, emphasizing the need for methodological rigor and transparency to drive progress and ensure ethical use in health care.",1,,,,,,,
96,Performance of large language models in urological decision support: a guideline-based comparative evaluation in urolithiasis.,"Large language models (LLMs) are increasingly investigated for their potential role in guideline-based clinical information support. However, their consistency with subspecialty guidelines, particularly in urolithiasis, remains underexplored. This study aimed to evaluate the performance of four large language models (LLMs); GPT-4, GPT-4-turbo, Claude, and Gemini in generating guideline-concordant responses to clinical questions related to urolithiasis. A total of 105 clinical questions were independently developed by the authors based on urolithiasis management principles. Each LLM generated responses in two separate sessions. Two experienced urologists evaluated the outputs for accuracy and concordance with guideline recommendations. Inter-rater agreement analysis demonstrated fair agreement between evaluators. Differences across models and guideline categories were assessed using appropriate statistical tests. All four LLMs demonstrated high guideline adherence, with mean total scores ranging from 86.5 ± 5.2 (Gemini) to 92.8 ± 3.1 (Claude). Claude achieved the highest correlation with expert ratings (r = 0.94, p < 0.01). There were no statistically significant differences across models or among the nine clinical categories (p > 0.05). Session-to-session repeatability was also high for all models, with intra-model correlation coefficients exceeding 0.90. LLMs, particularly Claude, can provide reliable, guideline-consistent answers to urolithiasis-related clinical queries. Their consistent performance across themes suggests utility as adjunctive informational tools for guideline-based urological education and support, although further validation in real-world clinical settings remains necessary.",1,,,,,,,
97,Performance of large language models and clinical decision support in perioperative management of oral anticoagulants.,"BACKGROUND: Perioperative anticoagulant management is critical because of the competing risks of ischemia and bleeding. Large language models (LLMs) and clinical decision support (CDS) have shown substantial advances and are increasingly being applied across various domains of cardiology. However, to date, no studies have specifically evaluated the performance of LLMs combined with CDS in perioperative anticoagulant management.
METHODS: Two cardiologists developed 40 guideline-based clinical scenarios involving patients receiving oral anticoagulants scheduled for non-cardiac surgery, including 20 direct oral anticoagulant (DOAC) and 20 warfarin scenarios. Three commonly used LLMs (ChatGPT 5.2, Gemini 3.0 Pro, and DeepSeek V3.2) were evaluated in two phases: baseline performance (Phase 1) and performance after integration of structured CDS tables (Phase 2). Responses were assessed for guideline concordance on a per-scenario basis, requiring correct recommendations across all predefined domains. Model performances were compared using Cochran's Q test, with post hoc Dunn-Bonferroni correction, and within-model comparisons were performed using McNemar's test.
RESULTS: In Phase 1, guideline-concordant management was achieved in 60% of scenarios by ChatGPT-5.2, 55% by Gemini 3.0 Pro, and 50% by DeepSeek V3.2, with no significant difference among models (p = 0.180). Following CDS augmentation in Phase 2, scenario-level accuracy improved significantly for all models (all p < 0.05), increasing to 80% for ChatGPT-5.2, 100% for Gemini 3.0 Pro, and 85% for DeepSeek V3.2. Comparative analysis in Phase 2 demonstrated a significant difference among models (p = 0.009), driven primarily by superior performance of Gemini 3.0 Pro compared with ChatGPT-5.2 (adjusted p = 0.009).
CONCLUSIONS: Baseline performance of LLMs in perioperative anticoagulant management was modest and insufficient to replace clinical judgment. However, integration of structured CDS tools resulted in marked and clinically meaningful improvements in guideline-concordant performance across all evaluated models.",1,,,,,,,
98,Use of Large Language Models on Radiology Reports: A Scoping Review.,"Large language models (LLMs) are increasingly being explored for a wide range of applications in radiology, offering the potential to enhance clinical workflows, improve diagnostic accuracy, and support patient communication. In this scoping review the authors examine the current and emerging uses of LLMs on radiology text, focusing on areas such as report generation, structured data extraction, workflow optimization, and clinical decision support. A literature search was conducted on PubMed and Embase, and a total of 69 articles were included in the review. The capabilities and limitations of existing approaches were assessed, and key methodologic considerations were discussed, including transparency and bias, while identifying critical gaps in validation and generalizability. Overall, LLMs demonstrated strong performance in workflows such as report simplification and translation but produced mixed results in classification tasks. Certain methods such as fine-tuning and structured prompt generation improved LLM accuracy. In assessing the characteristics of the included studies, although most studies performed well in documenting the independence of their testing and training datasets and LLM prompting methods, fewer than half of studies explicitly attempted to manage the inherent stochasticity of LLMs. By synthesizing recent advancements and outlining future directions, the aim of this review was to guide clinicians, researchers, and health care stakeholders in responsibly harnessing the transformative potential of LLMs in radiologic care.",1,,,,,,,
99,"Building trustworthy large language model-driven generative recommender system for healthcare decision support: A scoping review of corpus sources, customization techniques, and evaluation frameworks.","INTRODUCTION: Large Language Model-Driven Generative Recommender Systems (LLM-GRSs) are playing a growing role in healthcare, particularly in clinical question-answering. This study reviews their corpus sources, customization techniques, and evaluation metrics.
METHODS: We conducted a systematic search of PubMed, Embase, Scopus, and Web of Science for studies published between January 2021 and August 2025 that applied LLM-GRSs to deliver medical or healthcare information. Eligible studies included publications describing LLMs designed to emulate clinical decision-making by providing diagnostic or therapeutic recommendations through dialogue-based interfaces. Two reviewers independently screened studies and extracted data on corpus sources, model architectures, customization methods, and evaluation metrics.
RESULTS: A total of 61 articles were included. Corpus sources were grouped into clinical data (n = 25), literature (n = 34), open datasets (n = 37), and web-crawled data (n = 15), with many using multiple types. Most studies (n = 43) combined multiple approaches. Customization techniques included prompt engineering, retrieval-augmented generation and model fine-tuning. Twenty-four studies used a single customization technique, while 37 studies combined these methods during model development. The evaluation metrics were classified into three main domains: process metrics, usability metrics, and outcome metrics. The outcome metrics included both model-based and manual-assessed evaluations.
CONCLUSION: LLM-GRSs hold considerable promise in healthcare; however, their safety and reliability hinge on the use of evidence-based training corpora, transparent system design, and standardized evaluation protocols within real-world clinical environments.",1,,,,,,,
100,Evaluating large language models for interpreting and applying caries guidelines in clinical decision support.,"OBJECTIVE: To systematically evaluate the capability of three large language models (LLMs)—GPT-4o, Grok-3, and DeepSeek—in interpreting and translating clinical practice guidelines for caries management and in supporting clinical decision-making, thereby exploring their potential role in disseminating dental knowledge and assisting clinical practice. METHODS: Based on the American Dental Association’s guideline on nonrestorative treatments for carious lesions, a zero-shot prompting strategy—where models are given tasks without prior examples or fine-tuning—was employed to objectively assess their intrinsic ability to interpret and apply guideline knowledge. Each model was instructed to generate guideline summaries tailored for both healthcare professionals and the general public, as well as to provide diagnoses and treatment plans for three standardized clinical cases. All outputs were independently evaluated by three experienced endodontists across five dimensions (accuracy, clarity, conciseness, logical coherence, and overall quality) using a 0–10 scale. Automated text consistency was also assessed using ROUGE-L and BLEU metrics. RESULTS: In clinical case analyses, GPT-4o achieved a significantly higher composite score compared to DeepSeek and Grok-3, demonstrating superior diagnostic accuracy and clinically relevant treatment recommendations. This performance gap may be attributed to GPT-4o’s more robust clinical reasoning architecture and better alignment with guideline logic. For public-facing summaries, GPT-4o excelled in clarity and coherence, while DeepSeek achieved the highest accuracy in preserving source terminology. For professional summaries, all models performed comparably, with DeepSeek leading in automated metrics. CONCLUSION: Large language models demonstrate promising potential in translating dental guidelines and assisting clinical decision-making, with GPT-4o showing particularly strong performance in complex clinical reasoning tasks. However, limitations include variability in personalized recommendation generation and occasional mechanistic application of guidelines. The findings underscore the need for enhanced model interpretability, integration of multimodal data, and development of human-AI collaborative frameworks to optimize the balance between standardized and personalized oral disease management.",1,,,,,,,
101,A large language model-based clinical decision support system for syncope recognition in the emergency department: A framework for clinical workflow integration.,"Differentiation of syncope from transient loss of consciousness can be challenging in the emergency department (ED). Natural Language Processing (NLP) enables the analysis of free text in the electronic medical records (EMR). The present paper aimed to develop a large language models (LLM) for syncope recognition in the ED and proposed a framework for model integration within the clinical workflow. Two models, based on both the Italian and Multilingual Bidirectional Encoder Representations from Transformers (BERT) language model, were developed using consecutive EMRs. The ""triage"" model was only based on notes contained in the ""triage"" section of the EMR. The ""anamnesis"" model added data contained in the ""medical history"" section. Interpretation and calibration plots were generated. The Italian and Multi BERT models were developed and tested on both 15,098 and 15,222 EMRs, respectively. The triage model had an AUC of 0·95 for the Italian BERT and 0·94 for the Multi BERT. The anamnesis model had an AUC of 0·98 for the Italian BERT and 0·97 for Multi BERT. The LLM identified syncope when not explicitly mentioned in the EMR and also recognized common prodromal symptoms preceding syncope. Both models identified syncope patients in the ED with a high discriminative capability from nurses and doctors' notes, thus potentially acting as a tool helping physicians to differentiate syncope from others transient loss of consciousness.",1,,,,,,,
